"Company 
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,Sweetness,Price,Fat Content,"Broad Bean
Origin"
Caribeans,Anselmo Paraiso Estate,1586,2015,72,Costa Rica,3.5,90,12,5,Costa Rica
Chequessett,la Amistad,1235,2014,70,U.S.A.,3.5,79,10,6,Costa Rica
Frederic Blondeel,Costa Rica,1538,2015,70,Belgium,3.5,86,9,5,Costa Rica
Ritual,Costa Rica,745,2011,75,U.S.A.,3.5,72,11,7,Costa Rica
Sibu,Oscuro,1586,2015,70,Costa Rica,3.5,79,6,5,Costa Rica
Heirloom Cacao Preservation (Fruition),"Cota Brus, Terciopelo, 2015",1748,2016,74,U.S.A.,3.5,85,11,6,Costa Rica
Potomac,Upala w/ nibs,647,2011,70,U.S.A.,3.5,79,8,5,Costa Rica
DeVries,Costa Rica,166,2007,77,U.S.A.,3.5,80,12,5,Costa Rica
A. Morin,Cuba,1315,2014,70,France,3.5,90,12,5,Cuba
Benoit Nihant,Baracoa,1141,2013,74,Belgium,3.5,79,11,7,Cuba
Bonnat,Cuba,629,2011,75,France,3.5,84,8,6,Cuba
Arete,Camino Verde,1602,2015,75,U.S.A.,3.5,70,12,6,Ecuador
Belcolade,Ecuador,586,2010,71,Belgium,3.5,73,9,6,Ecuador
Bright,"Camino Verde, Balao, Guayas",1231,2014,72,Australia,3.5,74,8,5,Ecuador
Burnt Fork Bend,Mindo,1299,2014,72,U.S.A.,3.5,84,10,5,Ecuador
C-Amaro,Ecuador,1185,2013,100,Italy,3.5,74,12,6,Ecuador
Cloudforest,"Camino Verde P., Balao, Guayas, 2014",1486,2015,73,U.S.A.,3.5,77,10,5,Ecuador
Condor,Camino Verde,1630,2015,76,U.S.A.,3.5,77,10,5,Ecuador
Damson,Los Rios,1610,2015,70,U.K.,3.5,70,6,6,Ecuador
Dandelion,"Camino Verde P., Balao, Guayas, 2013",1295,2014,70,U.S.A.,3.5,72,7,5,Ecuador
Dick Taylor,Camino Verde,1193,2013,76,U.S.A.,3.5,75,8,6,Ecuador
Ethereal,Ecuador,1275,2014,80,U.S.A.,3.5,78,9,6,Ecuador
Fossa,"Camino Verde P., Balao, Guayas",1776,2016,75,Singapore,3.5,73,12,5,Ecuador
Guittard,Ecuador,1053,2013,65,U.S.A.,3.5,74,11,6,Ecuador
Holy Cacao,"Camino Verde P., Balao, Guayas",1466,2015,70,Israel,3.5,72,12,6,Ecuador
Kallari (Ecuatoriana),Sisa's Secret/ original micro,241,2008,70,Ecuador,3.5,76,12,7,Ecuador
Millcreek Cacao Roasters,Ecuador,825,2012,70,U.S.A.,3.5,72,6,5,Ecuador
Montecristi,Manabi,1654,2015,63,Ecuador,3.5,71,8,7,Ecuador
Montecristi,Manabi,1658,2015,85,Ecuador,3.5,85,7,5,Ecuador
Night Owl,Ecuador,1022,2013,75,U.S.A.,3.5,72,10,7,Ecuador
Pacari,Cumbia,1415,2014,70,Ecuador,3.5,89,6,5,Ecuador
Pacari,Nube- prototype,721,2011,70,Ecuador,3.5,89,12,5,Ecuador
Pitch Dark,"Camino Verde P., Balao, Guayas, ""Floral""",1319,2014,73,U.S.A.,3.5,76,7,6,Ecuador
Pump Street Bakery,"Chocoan Rainforest, Teroro Escondido, ESM",1872,2016,77,U.K.,3.5,79,6,7,Ecuador
Ritual,"Camino Verde P., Balao, Guayas, 2014",1466,2015,85,U.S.A.,3.5,70,11,5,Ecuador
Sol Cacao,"Ecuador, Batch 1",1812,2016,70,U.S.A.,3.5,76,11,7,Ecuador
Spencer,Ecuador,1932,2017,70,U.S.A.,3.5,71,12,6,Ecuador
Stone Grindz,"Ecuador, Midnight Dark",1291,2014,84,U.S.A.,3.5,90,12,7,Ecuador
Stone Grindz,"Ecuador, Twilght Dark",1291,2014,70,U.S.A.,3.5,73,12,7,Ecuador
twenty-four blackbirds,"Cedeno, lot 271",1700,2015,75,U.S.A.,3.5,81,6,7,Ecuador
Videri,Mindo,1227,2014,75,U.S.A.,3.5,87,9,5,Ecuador
Heirloom Cacao Preservation (Millcreek),"Los Rios, Hacienda Limon, Orecao, 2015",1744,2016,70,U.S.A.,3.5,70,7,7,Ecuador
Heirloom Cacao Preservation (Mindo),"Pinchincha, Mindo, Coop Nueva Esper., 2015",1748,2016,77,U.S.A.,3.5,77,9,5,Ecuador
Cacaoyere (Ecuatoriana),Amazonia,237,2008,63,Ecuador,3.5,86,10,5,Ecuador
Cacaoyere (Ecuatoriana),Esmeraldas,237,2008,71,Ecuador,3.5,71,7,7,Ecuador
Caoni (Tulicorp),Esmeraldas,269,2008,55,Ecuador,3.5,82,8,6,Ecuador
Felchlin,Arriba,48,2006,72,Switzerland,3.5,84,8,5,Ecuador
Guittard,"Los Rios, Quevedo",93,2006,65,U.S.A.,3.5,71,9,6,Ecuador
Pacari,Raw,266,2008,70,Ecuador,3.5,81,7,6,Ecuador
Republica del Cacao (aka Confecta),El Oro,147,2007,67,Ecuador,3.5,84,11,7,Ecuador
Hoja Verde (Tulicorp),Manabi,414,2009,58,Ecuador,3.5,77,10,5,Ecuador
Salgado,Rio Arriba,292,2008,70,Argentina,3.5,78,9,5,Ecuador
Alexandre,"Winak Coop, Napo",1944,2017,70,Netherlands,3.5,74,6,7,Ecuador
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 2012",1065,2013,82,U.K.,3.5,90,8,7,Ecuador
Salgado,Esmeraldas,288,2008,70,Argentina,3.5,90,10,6,Ecuador
Soma,"Camino Verde P., Balao, Guayas",1307,2014,80,Canada,3.5,86,12,6,Ecuador
Map Chocolate,Ecuador,1478,2015,70,U.S.A.,3.5,84,11,7,Ecuador
Adi,Vanua Levu,705,2011,88,Fiji,3.5,83,8,7,Fiji
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72,Fiji,3.5,90,7,5,Fiji
Bittersweet Origins,Ghana,963,2012,72,U.S.A.,3.5,83,10,5,Ghana
Brasstown aka It's Chocolate,Ghana,1129,2013,75,U.S.A.,3.5,79,6,7,Ghana
Coppeneur,Ghana Puristique,813,2012,85,Germany,3.5,82,9,7,Ghana
Frederic Blondeel,Ghana,1351,2014,60,Belgium,3.5,71,12,6,Ghana
Manufaktura Czekolady,Grand Cru Ghana,871,2012,70,Poland,3.5,88,9,5,Ghana
Mars,"Ghana, prototype",544,2010,65,U.S.A.,3.5,72,11,6,Ghana
Nathan Miller,Ghana,1403,2014,70,U.S.A.,3.5,82,11,6,Ghana
Soma,Africa,377,2009,70,Canada,3.5,85,9,7,Ghana
Valrhona,Nyangbo,395,2009,68,France,3.5,87,7,7,Ghana
Amedei,Grenada,123,2007,70,Italy,3.5,78,12,5,Grenada
Felchlin,Grenada,494,2010,58,Switzerland,3.5,82,7,6,Grenada
La Maison du Chocolat (Valrhona),Grenada,741,2011,68,France,3.5,74,11,5,Grenada
Pump Street Bakery,"Crayfish Bay Estate, 2014",1502,2015,70,U.K.,3.5,86,7,6,Grenada
Rococo (Grenada Chocolate Co.),"Gru Grococo, St. Andrews",923,2012,66,U.K.,3.5,76,9,6,Grenada
Scharffen Berger,Camahogne,464,2010,68,U.S.A.,3.5,73,11,6,Grenada
Arete,Lachua,1904,2016,70,U.S.A.,3.5,87,9,6,Guatemala
Blue Bandana,Guatemala,911,2012,70,U.S.A.,3.5,70,12,5,Guatemala
Brazen,"Alta Verapaz, 2014",1514,2015,70,U.S.A.,3.5,88,11,7,Guatemala
Caribeans,"Antigua, Special Reserve",1582,2015,72,Costa Rica,3.5,76,12,5,Guatemala
Danta,Los Ujuxtes,661,2011,60,Guatemala,3.5,74,7,5,Guatemala
French Broad,Guatemala,1634,2015,73,U.S.A.,3.5,85,7,7,Guatemala
Parliament,"Lachua, Q'egchi families",1542,2015,70,U.S.A.,3.5,85,9,5,Guatemala
Soma,Cahabon Region,951,2012,70,Canada,3.5,81,8,5,Guatemala
Minimal,"Acul-du-Nord, 2015",1920,2016,70,Japan,3.5,72,9,6,Haiti
Cacao Barry,Grand 'Anse,1716,2016,65,France,3.5,86,10,6,Haiti
Heirloom Cacao Preservation (Manoa),"Maunawili, O'ahu, Agri Research C., 2015",1744,2016,72,U.S.A.,3.5,78,9,7,Hawaii
Lonohana,"Hawaiian Crown, Kona Vanilla",1097,2013,70,U.S.A.,3.5,88,6,7,Hawaii
Madre,Kaua'i,995,2012,70,U.S.A.,3.5,86,7,5,Hawaii
Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate w/ nibs",502,2010,55,U.S.A.,3.5,81,11,5,Hawaii
Nanea,Criollo Blend,1007,2013,85,U.S.A.,3.5,76,7,6,Hawaii
Somerville,"Hawaiian, Big Island",1395,2014,70,U.S.A.,3.5,75,7,7,Hawaii
Arete,"La Masica, FHIA",1908,2016,70,U.S.A.,3.5,76,10,5,Honduras
Letterpress,"La Masica, Batch 7, FHIA",1952,2017,70,U.S.A.,3.5,81,11,7,Honduras
Map Chocolate,Le Chocolat Chaud,1634,2015,78,U.S.A.,3.5,89,8,7,Honduras
Mesocacao,Honduras,1347,2014,70,Honduras,3.5,83,8,6,Honduras
Cacao Market,"Jutiapa, lot 050916D",1860,2016,70,U.S.A.,3.5,76,12,7,Honduras
Castronovo,"the lost city, gracias a dias, batch 362",1570,2015,72,U.S.A.,3.5,87,10,7,Honduras
Zotter,Kerala State,749,2011,65,Austria,3.5,84,11,6,India
Artisan du Chocolat,Bali,600,2010,72,U.K.,3.5,76,7,7,Indonesia
Beschle (Felchlin),"Java, Grand Cru",508,2010,64,Switzerland,3.5,87,12,6,Indonesia
Pralus,"Java, Indonesie",32,2006,75,France,3.5,81,9,5,Indonesia
Pralus,"Djakarta, Java and Ghana",99,2006,75,France,3.5,82,10,6,"Indonesia, Ghana"
Fresco,"Jamaica, #210, DR, MC",642,2011,70,U.S.A.,3.5,71,6,5,Jamaica
Green Bean to Bar,Madagascar,1896,2016,70,Japan,3.5,88,11,7,Madagascar
Soul,Madagascar,1936,2017,70,Canada,3.5,87,10,5,Madagascar
Tsara (Cinagra),"Ambanja, Tsara Valley",753,2011,72,Madagascar,3.5,70,9,5,Madagascar
Domori,Madagared,192,2007,70,Italy,3.5,87,9,7,Madagascar
Levy,Sambirano,1231,2014,71,Finland,3.5,87,6,6,Madagascar
Pump Street Bakery,"Akesson's, batch 4411",1530,2015,74,U.K.,3.5,87,12,6,Madagascar
Szanto Tibor,"Autumn, Primary Harvest, 2012",1185,2013,70,Hungary,3.5,85,7,6,Madagascar
Szanto Tibor,"Spring, Secondary Harvest, 2012",1185,2013,70,Hungary,3.5,70,11,7,Madagascar
Guittard,"Sambirano, Ambanja",87,2006,65,U.S.A.,3.5,75,6,5,Madagascar
Zart Pralinen,"Millot P., Ambanja",1820,2016,70,Austria,3.5,89,8,5,Madagascar
Amano,Madagascar,129,2007,70,U.S.A.,3.5,89,12,6,Madagascar
Bittersweet Origins,Sambirano,431,2009,65,U.S.A.,3.5,78,6,7,Madagascar
Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82,U.S.A.,3.5,76,10,5,Madagascar
Cacao Sampaka,Madagascar,508,2010,71,Spain,3.5,80,8,5,Madagascar
Chocovic,Sambirano,478,2010,71,Spain,3.5,77,10,7,Madagascar
Coppeneur,Madagascar,959,2012,70,Germany,3.5,88,6,7,Madagascar
Domori,Madagascar,135,2007,70,Italy,3.5,73,12,5,Madagascar
East Van Roasters,Madagascar,1343,2014,70,Canada,3.5,70,6,7,Madagascar
Frederic Blondeel,Madagascar,1351,2014,65,Belgium,3.5,86,6,6,Madagascar
Georgia Ramon,Akesson P.,1646,2015,75,Germany,3.5,83,12,6,Madagascar
Holy Cacao,Sambirano,1466,2015,70,Israel,3.5,74,6,7,Madagascar
Isidro,Madagascar,1275,2014,72,U.S.A.,3.5,77,6,7,Madagascar
Just Good Chocolate,Madagascar,1375,2014,70,U.S.A.,3.5,72,11,7,Madagascar
L.A. Burdick (Felchlin),Madagascar,431,2009,64,U.S.A.,3.5,77,11,6,Madagascar
Madecasse (Cinagra),Madagascar,284,2008,67,Madagascar,3.5,80,10,6,Madagascar
Madecasse (Cinagra),Madagascar,288,2008,75,Madagascar,3.5,79,12,7,Madagascar
Malagasy (Chocolaterie Robert),Mora Mora 2006,184,2007,73,Madagascar,3.5,77,8,6,Madagascar
Metiisto,Akesson Estate,1267,2014,72,Sweden,3.5,80,6,6,Madagascar
Nuance,"Sambirano Valley, 2012",1458,2015,70,U.S.A.,3.5,76,12,7,Madagascar
Omnom,Madagascar,1247,2014,66,Iceland,3.5,74,8,7,Madagascar
Patric,Madagascar,439,2009,67,U.S.A.,3.5,83,9,5,Madagascar
Rogue,"Akessons Estate, Sambirano, 2013",1038,2013,70,U.S.A.,3.5,74,7,6,Madagascar
S.A.I.D.,Malgascio,607,2010,64,Italy,3.5,86,12,5,Madagascar
"Smooth Chocolator, The",Akesson's Estate,1622,2015,70,Australia,3.5,71,6,5,Madagascar
Soma,"Sambirano Valley, Black Science, B-60307.0",1820,2016,70,Canada,3.5,73,8,5,Madagascar
Theo,Madagascar,162,2007,65,U.S.A.,3.5,81,7,5,Madagascar
twenty-four blackbirds,Madagascar,1235,2014,75,U.S.A.,3.5,73,11,7,Madagascar
Valrhona,"Sambirano, Ampamakia 2005, Millot P.",75,2006,64,France,3.5,85,11,6,Madagascar
Hotel Chocolat (Coppeneur),Sambirano,809,2012,66,U.K.,3.5,89,7,5,Madagascar
Choco Dong,"Tawau, Oct. 2015 Harvest",1696,2015,70,South Korea,3.5,89,8,7,Malaysia
Bar Au Chocolat,Chiapas,983,2012,70,U.S.A.,3.5,72,9,6,Mexico
Bonnat,Selva Maya,1912,2016,75,France,3.5,74,9,6,Mexico
Friis Holm,"Rugoso, Bad Fermentation",1912,2016,70,Denmark,3.5,75,11,7,Nicaragua
Friis Holm (Bonnat),La Dalia,1259,2014,70,Denmark,3.5,72,11,7,Nicaragua
Friis Holm (Bonnat),"Medagla, Xoco",1034,2013,70,Denmark,3.5,88,6,6,Nicaragua
Map Chocolate,"A case of the Xerces Blues, triple roast",1606,2015,70,U.S.A.,3.5,83,6,7,Nicaragua
Mesocacao,"La Tronca, Matagalpa",1351,2014,80,Honduras,3.5,82,10,6,Nicaragua
Middlebury,"Matagalpa, Cacao Bisiesto",1538,2015,70,U.S.A.,3.5,73,8,6,Nicaragua
Muchomas (Mesocacao),Nicaragua,1462,2015,70,U.S.A.,3.5,77,10,5,Nicaragua
Muchomas (Mesocacao),Nicaragua,1462,2015,80,U.S.A.,3.5,84,6,6,Nicaragua
Soma,"La Tronca, Matagalpa",1227,2014,70,Canada,3.5,73,11,6,Nicaragua
Duffy's,"Chuno, Xoco",1331,2014,70,U.K.,3.5,85,6,5,Nicaragua
Alexandre,"La Dalia, Matagalpa",1944,2017,70,Netherlands,3.5,90,10,7,Nicaragua
Doble & Bignall,Johe,1407,2014,72,U.K.,3.5,90,11,6,Nicaragua
Friis Holm (Bonnat),"Chuno, Xoco",623,2011,70,Denmark,3.5,74,11,6,Nicaragua
Friis Holm (Bonnat),"Nicaliso, Xoco",623,2011,70,Denmark,3.5,73,6,6,Nicaragua
L'Amourette,Rugoso,1784,2016,80,U.S.A.,3.5,78,9,7,Nicaragua
Bittersweet Origins,Bocas del Toro,233,2008,75,U.S.A.,3.5,77,9,5,Panama
Duffy's,Panama,516,2010,70,U.K.,3.5,82,8,5,Panama
Zotter,"Bocas del Toro, Cocabo Co-op",801,2012,72,Austria,3.5,85,7,5,Panama
A. Morin,Quilla,1704,2015,70,France,3.5,76,6,7,Peru
A. Morin,Chanchamayo Province,1019,2013,70,France,3.5,84,12,5,Peru
Ambrosia,Peru,1498,2015,68,Canada,3.5,80,6,7,Peru
Bakau,"Huallabamba, 2015",1454,2015,70,Peru,3.5,85,8,6,Peru
Bonnat,"Cusco, Cacao Cusco",629,2011,75,France,3.5,82,6,7,Peru
Frederic Blondeel,Peru Brutus,1538,2015,75,Belgium,3.5,89,6,6,Peru
French Broad,"Norandino, batch 161208",1940,2017,70,U.S.A.,3.5,74,7,6,Peru
French Broad,"Palo Blanco, Chulucanas",1042,2013,66,U.S.A.,3.5,79,8,6,Peru
French Broad,"Palo Blanco, Chulucanas",883,2012,61,U.S.A.,3.5,76,7,5,Peru
Holy Cacao,San Martin,431,2009,70,Israel,3.5,76,7,7,Peru
Manufaktura Czekolady,Peru,1848,2016,70,Poland,3.5,72,6,7,Peru
Wellington Chocolate Factory,"Piura Blanco, Norandino",1756,2016,70,New Zealand,3.5,82,8,5,Peru
Emily's,Peru,1454,2015,78,Japan,3.5,78,8,5,Peru
Hogarth,Gran Blanco,1712,2016,66,New Zealand,3.5,90,11,6,Peru
Lillie Belle,Perfect Illusion,855,2012,65,U.S.A.,3.5,83,8,5,Peru
Map Chocolate,"Tumbes, Dear Mr. Finley, 2014",1606,2015,68,U.S.A.,3.5,85,6,6,Peru
Maverick,"Morropon, Norandiono Coop, Piura",1430,2014,63,U.S.A.,3.5,79,11,7,Peru
Ranger,"Tumbes, Batch 2",1562,2015,73,U.S.A.,3.5,74,11,6,Peru
Shattell,Porcelana,757,2011,75,Peru,3.5,85,6,5,Peru
Zotter,"Satipo Pangoa region, 20hr conche",875,2012,70,Austria,3.5,89,9,5,Peru
Arete,Nacional,1534,2015,68,U.S.A.,3.5,78,9,5,Peru
Bonnat,Piura Blanco,629,2011,75,France,3.5,85,11,5,Peru
Durci,"Maranon, Joya Rara",1626,2015,70,U.S.A.,3.5,72,12,7,Peru
French Broad,"Maranon Canyon, Fortunato No. 4",781,2011,70,U.S.A.,3.5,73,11,7,Peru
Fresco,"Maranon, #227, LR, MC",1383,2014,70,U.S.A.,3.5,89,12,7,Peru
Fresco,"Maranon, #229, MR, LC",1383,2014,70,U.S.A.,3.5,89,11,6,Peru
Fresco,"Maranon, #230, DR, LC",1387,2014,70,U.S.A.,3.5,87,9,7,Peru
Letterpress,Maranura,1371,2014,70,U.S.A.,3.5,87,12,6,Peru
Map Chocolate,"Maranon, 2014",1474,2015,62,U.S.A.,3.5,85,7,5,Peru
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73,Peru,3.5,73,6,6,Peru
Malagos,"Davao, Mt. Talamo foothills",1121,2013,65,Philippines,3.5,83,6,5,Philippines
Ocho,Sang Yum Coop,1760,2016,70,New Zealand,3.5,87,12,5,Samoa
Pralus,Sao Tome & Principe,5,2006,75,France,3.5,81,8,7,Sao Tome & Principe
Madre,Guadalcanal,1940,2017,73,U.S.A.,3.5,77,12,5,Solomon Islands
Park 75,South America,1363,2014,65,U.S.A.,3.5,90,6,5,South America
Metropolitan,South America,1688,2015,70,Amsterdam,3.5,78,7,5,South America
Blue Bandana,Kokoa Kamili,1752,2016,75,U.S.A.,3.5,85,6,6,Tanzania
Domori,Morogoro,863,2012,70,Italy,3.5,83,11,5,Tanzania
Letterpress,Kokoa Kamili,1566,2015,70,U.S.A.,3.5,89,8,6,Tanzania
Palette de Bine,Kokoa Kamili,1574,2015,72,Canada,3.5,75,11,5,Tanzania
Sirene,Kokoa Kamili Coop,1856,2016,73,Canada,3.5,79,10,5,Tanzania
Soul,Tanzania,1940,2017,80,Canada,3.5,72,6,7,Tanzania
Pralus,Tanzania,105,2006,75,France,3.5,85,6,6,Tanzania
Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70,U.S.A.,3.5,78,12,6,Tanzania
Zart Pralinen,"Kakao Kamili, Kilombero Valley",1824,2016,70,Austria,3.5,81,11,7,Tanzania
Alexandre,"Makwale Village, Kyela",1944,2017,70,Netherlands,3.5,76,9,7,Tanzania
A. Morin,Akata,1680,2015,70,France,3.5,80,11,7,Togo
Amedei,Trinidad,129,2007,70,Italy,3.5,89,9,5,Trinidad
Arete,San Juan,1724,2016,70,U.S.A.,3.5,87,6,5,Trinidad
Holy Cacao,Gran Couva,1466,2015,70,Israel,3.5,86,12,6,Trinidad
Letterpress,"San Juan Estate, Gran Couva",1562,2015,70,U.S.A.,3.5,78,12,5,Trinidad
Middlebury,San Juan Estate,1490,2015,70,U.S.A.,3.5,76,10,6,Trinidad
Pralus,Trinidad,5,2006,75,France,3.5,73,10,7,Trinidad
Ritual,Gran Couva,979,2012,75,U.S.A.,3.5,73,11,7,Trinidad
Videri,Trinidad,1211,2014,75,U.S.A.,3.5,78,8,6,Trinidad
Woodblock,Gran Couva,1042,2013,70,U.S.A.,3.5,90,9,7,Trinidad
Zart Pralinen,"San Juan Estate, Gran Couva",1880,2016,78,Austria,3.5,80,12,7,Trinidad
Matale,"Malekula P., 2013",1177,2013,72,Australia,3.5,90,6,7,Vanuatu
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72,Switzerland,3.5,77,6,5,Venezuela
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72,Switzerland,3.5,73,8,7,Venezuela
Cacao Sampaka,Venezuela,537,2010,71,Spain,3.5,73,9,5,Venezuela
Cacao Sampaka,Venezuela,537,2010,77,Spain,3.5,78,8,6,Venezuela
Castronovo,"Piaroa, Amazonas, Batch 350",1574,2015,72,U.S.A.,3.5,70,9,6,Venezuela
Dandelion,"Mantuano, 2012",1085,2013,70,U.S.A.,3.5,88,8,6,Venezuela
Duffy's,Ocumare,765,2011,71,U.K.,3.5,86,12,5,Venezuela
Franceschi,Choroni,1355,2014,70,Venezuela,3.5,70,10,7,Venezuela
Franceschi,Sur del Lago,915,2012,60,Venezuela,3.5,80,8,5,Venezuela
Guittard,Ocumare,276,2008,65,U.S.A.,3.5,85,12,5,Venezuela
Holy Cacao,Mara,1466,2015,70,Israel,3.5,83,9,6,Venezuela
Rozsavolgyi,"Aragua, Trincheras",717,2011,70,Hungary,3.5,70,9,6,Venezuela
Soul,Venezuela,1936,2017,75,Canada,3.5,86,6,7,Venezuela
Willie's Cacao,Hacienda Las Trincheras,593,2010,72,U.K.,3.5,71,7,6,Venezuela
A. Morin,Sur del Lago,1315,2014,70,France,3.5,86,11,7,Venezuela
Benoit Nihant,Chuao,1141,2013,74,Belgium,3.5,86,10,7,Venezuela
Benoit Nihant,Cuyagua Village,1141,2013,74,Belgium,3.5,81,9,6,Venezuela
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,70,U.S.A.,3.5,76,11,5,Venezuela
Chocovic,Ocumare,209,2008,71,Spain,3.5,73,11,5,Venezuela
Domori,"Canoabo, Hacienda San Jose",693,2011,70,Italy,3.5,82,12,6,Venezuela
Escazu,Carenero Superior,423,2009,81,U.S.A.,3.5,86,7,7,Venezuela
Fresco,"Carenero Superior, #203, MR, SC",370,2009,65,U.S.A.,3.5,73,12,6,Venezuela
hello cocoa,Venezuela,1462,2015,74,U.S.A.,3.5,84,8,6,Venezuela
Idilio (Felchlin),"Ocumare, H. Cata, w/ nibs",737,2011,72,Switzerland,3.5,76,7,7,Venezuela
Rozsavolgyi,Carenero Superior,713,2011,73,Hungary,3.5,73,7,5,Venezuela
Soma,CSB Chama,1594,2015,70,Canada,3.5,75,6,7,Venezuela
Soma,Chuao,688,2011,70,Canada,3.5,81,8,6,Venezuela
Szanto Tibor,Porcelana,1263,2014,70,Hungary,3.5,76,12,6,Venezuela
La Maison du Chocolat (Valrhona),"Porcelana, Pariguan",346,2009,69,France,3.5,90,7,5,Venezuela
Coppeneur,Chuao 100hr,451,2009,70,Germany,3.5,89,9,6,Venezuela
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,85,U.S.A.,3.5,87,10,5,Venezuela
Cacao de Origen,Chuao,1688,2015,77,Venezuela,3.5,71,8,7,Venezuela
Cacao de Origen,"Chuao, Aragua region",1391,2014,75,Venezuela,3.5,77,12,5,Venezuela
Domori,Carenero Superior,87,2006,70,Italy,3.5,87,11,6,Venezuela
Durci,"Rio Caribe, Tepui Treasure",1626,2015,70,U.S.A.,3.5,71,8,5,Venezuela
Michel Cluizel,"Carenero Superior, Concepcion",117,2007,66,France,3.5,71,9,5,Venezuela
Patric,"Rio Caribe, Paria Penninsula",439,2009,70,U.S.A.,3.5,87,7,5,Venezuela
Pralus,Chuao,486,2010,75,France,3.5,85,7,7,Venezuela
Pralus,"Barlovento, Venezuela",32,2006,75,France,3.5,70,10,6,Venezuela
Rogue,Rio Caribe,327,2009,70,U.S.A.,3.5,79,10,6,Venezuela
Salgado,Carenero Superior,288,2008,70,Argentina,3.5,73,9,6,Venezuela
Alexandre,Tien Giang,1944,2017,70,Netherlands,3.5,83,11,5,Vietnam
Arete,Tien Giang,1900,2016,73,U.S.A.,3.5,74,10,5,Vietnam
Cacao Store,Vietnam,1684,2015,70,Japan,3.5,73,12,6,Vietnam
Dick Taylor,Tien Giang,1864,2016,78,U.S.A.,3.5,78,9,5,Vietnam
Hotel Chocolat (Coppeneur),Mekong Delta & Dong Nai,1038,2013,80,U.K.,3.5,85,11,5,Vietnam
Hummingbird,Lam Dong,1542,2015,70,Canada,3.5,78,10,6,Vietnam
Marou,Ben Tre,1650,2015,68,Vietnam,3.5,90,11,5,Vietnam
Marou,"Tan Phu Dong, Treasure Island",1149,2013,75,Vietnam,3.5,75,7,6,Vietnam
Marou,Ba Ria,845,2012,76,Vietnam,3.5,71,9,6,Vietnam
Marou,Dong Nai,845,2012,72,Vietnam,3.5,80,8,5,Vietnam
Marou,"Tien Giang, Gao Co-op",845,2012,70,Vietnam,3.5,87,12,6,Vietnam
Marou,Ben Tre,849,2012,78,Vietnam,3.5,70,7,6,Vietnam
Marou,Lam Dong,955,2012,74,Vietnam,3.5,87,6,7,Vietnam
Vietcacao (A. Morin),"Ben Tre, Mekong Delta, MoCay",951,2012,70,France,3.5,81,10,5,Vietnam
Daintree,"Daintree Estates, N. Queensland",785,2011,70,Australia,3.25,87,12,7,Australia
Charm School,Maya Mtn,1900,2016,70,U.S.A.,3.25,76,10,5,Belize
Letterpress,"Maya Mtn, Batch 18, Heirloom",1952,2017,70,U.S.A.,3.25,89,7,7,Belize
Heirloom Cacao Preservation (Brasstown),"Maya Mtn, Moho R., Toledo D., 2015",1748,2016,70,U.S.A.,3.25,75,6,5,Belize
Shark Mountain,"Belize, 2013",1335,2014,72,U.S.A.,3.25,76,7,5,Belize
Bisou,Belize,1486,2015,86,U.S.A.,3.25,83,11,6,Belize
Brazen,Maya Mountain,1518,2015,80,U.S.A.,3.25,88,12,7,Belize
Burnt Fork Bend,Belize,1303,2014,72,U.S.A.,3.25,73,8,5,Belize
Choco Del Sol,Maya Mountain,1407,2014,82,Germany,3.25,88,10,7,Belize
Isidro,Belize,1279,2014,72,U.S.A.,3.25,75,10,6,Belize
Kto,Belize,1426,2014,90,U.S.A.,3.25,87,12,7,Belize
Maverick,Maya Mountain,1367,2014,70,U.S.A.,3.25,86,11,7,Belize
Middlebury,Belize,1117,2013,80,U.S.A.,3.25,72,10,7,Belize
Moho,"Toledo District, w/ nibs",1026,2013,73,U.S.A.,3.25,83,6,5,Belize
Sublime Origins,Moho Valley,1157,2013,78,U.S.A.,3.25,72,11,7,Belize
Altus aka Cao Artisan,Bolivia,1129,2013,80,U.S.A.,3.25,75,10,5,Bolivia
Bellflower,"Alto Beni, Palos Blanco",1804,2016,70,U.S.A.,3.25,86,10,5,Bolivia
Compania de Chocolate (Salgado),Moxos,292,2008,72,Argentina,3.25,76,12,7,Bolivia
Dark Forest,Bolivia,1708,2016,75,U.S.A.,3.25,81,9,6,Bolivia
Letterpress,Beniamo,1562,2015,70,U.S.A.,3.25,82,6,5,Bolivia
Original Beans (Felchlin),"Alto Beni, Wild Harvest, Itenez R., 60hr c.",341,2009,68,Switzerland,3.25,79,11,6,Bolivia
Palette de Bine,"Silvestre, La Paz, Beni",1570,2015,70,Canada,3.25,74,9,6,Bolivia
